ID,Unique_Locations,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
'11411,"('Hidden_lake_overlook', 'Logan_pass_VC', 'Shuttle_Logan_pass')",8850.0,2023-07-20 14:13:01,2023-07-20 16:46:16,153.25
'12011,"('Hidden_lake_overlook', 'Logan_pass_VC', 'Shuttle_Logan_pass')",13351.0,2023-07-21 09:27:09,2023-07-21 13:33:09,246.0
'12021,"('Loop_highline_grinnell_glac', 'Shuttle_Logan_pass')",62445.0,2023-07-21 09:11:19,2023-07-22 02:32:49,1041.5
'12031,"('Logan_pass_VC',)",31425.0,2023-07-21 09:29:32,2023-07-21 19:11:35,582.05
'12151,"('Logan_pass_parking', 'Shuttle_Logan_pass')",720.0,2023-07-21 10:36:36,2023-07-21 17:20:36,404.0
'12161,"('Logan_pass_VC', 'Logan_pass_parking', 'Shuttle_Logan_pass')",3541.0,2023-07-21 11:14:49,2023-07-21 14:52:20,217.51666666666668
'12251,"('Logan_pass_VC', 'Logan_pass_parking', 'Loop_highline_grinnell_glac')",21692.0,2023-07-21 08:59:59,2023-07-21 15:10:32,370.55
'12301,"('Hidden_lake_overlook', 'Logan_pass_VC', 'Loop_highline_grinnell_glac', 'Shuttle_Logan_pass')",13216.0,2023-07-21 11:39:28,2023-07-21 15:33:13,233.75
'12501,"('Hidden_lake_overlook', 'Logan_pass_VC', 'Logan_pass_parking', 'Shuttle_Logan_pass')",7575.0,2023-07-21 09:02:42,2023-07-21 11:23:27,140.75
'12521,"('Logan_pass_parking', 'Shuttle_Logan_pass')",1155.0,2023-07-21 08:58:49,2023-07-21 16:09:49,431.0
'13041,"('Hidden_lake_overlook', 'Logan_pass_VC', 'Shuttle_Logan_pass')",5670.0,2023-07-24 11:54:03,2023-07-24 13:34:03,100.0
'13231,"('Logan_pass_VC', 'Logan_pass_parking', 'Loop_highline_grinnell_glac', 'Shuttle_Logan_pass')",30435.0,2023-07-24 10:44:42,2023-07-24 19:49:27,544.75
'13241,"('Logan_pass_parking', 'Shuttle_Logan_pass')",360.0,2023-07-24 11:51:26,2023-07-24 11:57:26,6.0
'13381,"('Hidden_lake_overlook', 'Logan_pass_VC', 'Logan_pass_parking', 'Shuttle_Logan_pass')",10305.0,2023-07-24 09:13:23,2023-07-24 17:39:44,506.35
'13511,"('Logan_pass_VC', 'Logan_pass_parking', 'Loop_highline_grinnell_glac', 'Shuttle_Logan_pass')",15930.0,2023-07-24 09:13:41,2023-07-24 13:53:11,279.5
'14081,"('Logan_pass_parking',)",1155.0,2023-07-26 17:16:51,2023-07-26 17:36:06,19.25
'14161,"('Logan_pass_parking',)",1845.0,2023-07-26 16:20:57,2023-07-26 16:51:42,30.75
'14181,"('Logan_pass_VC', 'Loop_highline_grinnell_glac')",7620.0,2023-07-27 09:31:39,2023-07-27 11:46:54,135.25
'14191,"('Logan_pass_VC', 'Logan_pass_parking', 'Loop_highline_grinnell_glac')",4259.0,2023-07-26 16:35:32,2023-07-26 18:41:47,126.25
