Trip_Order,IDs,Count,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
"('StMary', 'Logan', 'Avalanche', 'LakeMcDonald', 'Avalanche', 'Logan', 'RisingSun', 'StMary')","[""'12521""]",1,[37204.0],['2023-07-21 08:08:19'],['2023-07-22 01:37:50'],[1049.5166666666667]
"('RisingSun', 'SunPoint', 'Logan', 'SunPoint')","[""'13041""]",1,[6135.0],['2023-07-24 11:14:03'],['2023-07-24 14:04:33'],[170.5]
"('RisingSun', 'SunPoint', 'Logan', 'Loop', 'Logan')","[""'13231""]",1,[31216.0],['2023-07-24 10:03:27'],['2023-07-24 19:49:27'],[586.0]
"('Waterfalls', 'SunPoint', 'StMary')","[""'13331""]",1,[52121.0],['2023-07-24 09:45:01'],['2023-07-25 00:46:42'],[901.6833333333333]
"('Logan', 'StMary', 'Logan', 'Avalanche', 'LakeMcDonald', 'Avalanche', 'Logan', 'StMary')","[""'13381""]",1,[32845.0],['2023-07-24 09:13:23'],['2023-07-24 22:46:29'],[813.1]
"('RisingSun', 'LakeMcDonald', 'StMary')","[""'14151""]",1,[24704.0],['2023-07-26 15:54:20'],['2023-07-27 09:08:17'],[1033.95]
"('Waterfalls', 'Loop', 'LakeMcDonald', 'Logan')","[""'14181""]",1,[52380.0],['2023-07-26 18:18:00'],['2023-07-27 11:46:54'],[1048.9]
"('SunPoint', 'LakeMcDonald', 'Avalanche', 'LakeMcDonald')","[""'14411""]",1,[3090.0],['2023-07-26 15:45:46'],['2023-07-26 20:36:46'],[291.0]
"('Waterfalls', 'Logan', 'StMary')","[""'14431""]",1,[33057.0],['2023-07-26 16:29:37'],['2023-07-27 09:42:00'],[1032.3833333333334]
"('Loop',)","[""'14441""]",1,[150.0],['2023-07-26 18:28:22'],['2023-07-26 18:30:52'],[2.5]
"('LakeMcDonald', 'Avalanche', 'Logan', 'Loop', 'Logan', 'Loop', 'Apgar')","[""'15161""]",1,[31412.0],['2023-07-27 10:00:02'],['2023-07-28 00:03:14'],[843.2]
"('LakeMcDonald', 'Avalanche', 'LakeMcDonald', 'Avalanche', 'LakeMcDonald')","[""'15191""]",1,[18045.0],['2023-07-27 11:37:04'],['2023-07-27 18:17:34'],[400.5]
"('LakeMcDonald', 'Avalanche', 'Logan', 'Avalanche', 'Apgar')","[""'15251""]",1,[36597.0],['2023-07-27 10:00:12'],['2023-07-28 02:36:16'],[996.0666666666667]
"('LakeMcDonald', 'Avalanche', 'LakeMcDonald')","[""'15261"", ""'15411"", ""'1551"", ""'21081"", ""'23101"", ""'24341""]",6,"[14655.0, 18932.0, 16687.0, 9959.0, 8729.0, 20296.0]","['2023-07-27 10:34:02', '2023-07-27 12:00:25', '2023-07-27 11:36:51', '2023-08-03 09:49:34', '2023-08-06 09:36:37', '2023-08-07 10:24:48']","['2023-07-27 14:49:47', '2023-07-27 17:03:25', '2023-07-27 15:55:57', '2023-08-03 12:59:15', '2023-08-06 13:48:33', '2023-08-07 16:30:04']","[255.75, 303.0, 259.1, 189.68333333333334, 251.93333333333334, 365.26666666666665]"
"('Apgar', 'LakeMcDonald', 'Avalanche')","[""'15421"", ""'17321""]",2,"[10245.0, 48214.0]","['2023-07-27 11:23:18', '2023-07-31 19:41:29']","['2023-07-27 14:54:03', '2023-08-01 10:06:17']","[210.75, 864.8]"
"('Avalanche', 'Logan', 'Avalanche', 'LakeMcDonald')","[""'15441"", ""'23341""]",2,"[12240.0, 21616.0]","['2023-07-27 12:21:35', '2023-08-06 09:40:53']","['2023-07-27 17:03:21', '2023-08-06 16:46:23']","[281.76666666666665, 425.5]"
"('Apgar', 'Avalanche', 'LakeMcDonald', 'Apgar')","[""'15461""]",1,[18774.0],['2023-07-27 10:29:14'],['2023-07-27 20:32:50'],[603.6]
