Unique_Locations,IDs,Count,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
"('Apgar_VC', 'Apgar_VC_parking', 'Avalanche_parking', 'Trail_of_Cedars')","[""'05311""]",1,[46690.0],['2023-07-10 07:53:46'],['2023-07-11 01:25:11'],[1051.4166666666667]
"('St_mary_VC_parking',)","[""'05331"", ""'05351"", ""'07461"", ""'12091"", ""'22271""]",5,"[600.0, 420.0, 7065.0, 165.0, 520.0]","['2023-07-06 09:38:30', '2023-07-06 09:35:43', '2023-07-12 19:52:48', '2023-07-21 09:07:04', '2023-08-06 08:25:20']","['2023-07-06 09:48:30', '2023-07-06 09:42:43', '2023-07-12 21:50:33', '2023-07-21 09:09:49', '2023-08-06 08:34:00']","[10.0, 7.0, 117.75, 2.75, 8.666666666666666]"
"('Avalanche_parking', 'Baring_falls_to_sun_point', 'Baring_falls_trail', 'Logan_pass_parking', 'Shuttle_Sun_point', 'St_mary_VC', 'St_mary_VC_parking', 'Sun_point_parking', 'Trail_of_Cedars')","[""'05341""]",1,[6389.0],['2023-07-10 11:35:03'],['2023-07-10 15:48:47'],[253.73333333333332]
"('Hidden_lake_overlook', 'Logan_pass_VC', 'Logan_pass_parking', 'Loop_parking', 'Many_glacier_trail')","[""'05361""]",1,[10335.0],['2023-07-10 07:53:31'],['2023-07-10 12:56:16'],[302.75]
"('Apgar_village', 'Avalanche_parking', 'Big_bend', 'Many_glacier_trail', 'Moose_country', 'Shuttle_Avalanche', 'Trail_of_Cedars')","[""'05401""]",1,[16288.0],['2023-07-10 08:38:10'],['2023-07-10 21:04:38'],[746.4666666666667]
"('Apgar_village', 'Gunsight_pass_trailhead', 'Many_glacier_trail')","[""'05441""]",1,[6960.0],['2023-07-10 09:34:19'],['2023-07-10 14:06:35'],[272.26666666666665]
"('Hidden_lake_overlook', 'Jackson_glac_overlook', 'Logan_pass_VC', 'Logan_pass_parking', 'Red_rock', 'Shuttle_Logan_pass')","[""'05461""]",1,[8156.0],['2023-07-10 09:22:51'],['2023-07-10 13:40:02'],[257.18333333333334]
"('Hidden_lake_overlook', 'Jackson_glac_overlook', 'Logan_pass_VC', 'Logan_pass_parking', 'StMary_falls_trail', 'St_mary_falls_parking', 'Viriginia_falls_trail')","[""'05511""]",1,[18809.0],['2023-07-10 10:47:08'],['2023-07-10 17:00:08'],[373.0]
"('Apgar_VC', 'Apgar_VC_parking', 'Apgar_village', 'Hidden_lake_overlook', 'Jackson_glac_overlook', 'Lake_macdonald_lodge', 'Logan_pass_VC', 'Logan_pass_parking', 'Lunch_creek', 'Lunch_creek_parking', 'Shuttle_Jackson_glac_overlook', 'Shuttle_Logan_pass', 'St_mary_VC_parking', 'Wild_goose_island')","[""'05541""]",1,[14497.0],['2023-07-10 08:19:54'],['2023-07-10 17:11:36'],[531.7]
"('Apgar_VC_parking', 'Lake_macdonald_lodge', 'St_mary_VC_parking')","[""'06021""]",1,[2685.0],['2023-07-11 11:13:46'],['2023-07-11 13:58:16'],[164.5]
"('Logan_pass_parking', 'Loop_parking', 'Trail_of_Cedars')","[""'06041""]",1,[10740.0],['2023-07-11 11:39:04'],['2023-07-11 16:29:04'],[290.0]
"('Logan_pass_parking', 'St_mary_VC_parking', 'Sun_point_parking', 'Trail_of_Cedars', 'Wild_goose_island')","[""'06061""]",1,[1416.0],['2023-07-11 10:48:26'],['2023-07-11 12:43:29'],[115.05]
"('Avalanche_parking', 'Big_bend', 'Lake_macdonald_lodge', 'Logan_pass_parking', 'Moose_country', 'Red_rock')","[""'06111""]",1,[1905.0],['2023-07-11 11:56:32'],['2023-07-11 13:56:32'],[120.0]
"('Apgar_campground', 'Logan_pass_parking', 'Loop_parking', 'Wild_goose_island')","[""'06131""]",1,[1980.0],['2023-07-11 11:32:45'],['2023-07-11 13:46:45'],[134.0]
"('Lake_macdonald_lodge',)","[""'06151"", ""'07361"", ""'1313"", ""'16261"", ""'23521"", ""'27341""]",6,"[345.0, 50928.0, 6702.0, 2325.0, 5260.0, 750.0]","['2023-07-11 11:48:49', '2023-07-12 17:15:20', '2023-07-26 18:00:23', '2023-07-30 17:18:02', '2023-08-06 15:29:13', '2023-08-08 12:55:53']","['2023-07-11 11:54:34', '2023-07-13 09:29:08', '2023-07-26 19:54:49', '2023-07-30 17:57:47', '2023-08-06 16:56:53', '2023-08-08 13:08:23']","[5.75, 973.8, 114.43333333333334, 39.75, 87.66666666666667, 12.5]"
"('Apgar_VC', 'Apgar_VC_parking', 'Apgar_village', 'Lake_macdonald_lodge', 'Shuttle_Lake_macdonald')","[""'06171"", ""'1512""]",2,"[14365.0, 5530.0]","['2023-07-11 10:13:10', '2023-07-27 10:33:56']","['2023-07-11 16:40:49', '2023-07-27 14:45:21']","[387.65, 251.41666666666666]"
"('Apgar_VC', 'Apgar_VC_parking', 'Avalanche_parking', 'Baring_falls_trail', 'Loop_parking', 'Red_rock')","[""'06181""]",1,[4926.0],['2023-07-11 11:11:22'],['2023-07-11 15:46:33'],[275.18333333333334]
"('Gunsight_pass_trailhead', 'Jackson_glac_overlook', 'Logan_pass_parking')","[""'06261""]",1,[8416.0],['2023-07-11 14:39:48'],['2023-07-11 17:10:03'],[150.25]
"('Avalanche_parking', 'Avalanche_trail', 'Shuttle_Avalanche', 'Trail_of_Cedars')","[""'06291""]",1,[12121.0],['2023-07-11 11:48:51'],['2023-07-11 15:15:21'],[206.5]
"('Avalanche_parking', 'Avalanche_trail', 'Big_bend', 'Hidden_lake_overlook', 'Logan_pass_VC', 'Logan_pass_parking', 'Oberlin_bend', 'Sun_point_parking', 'Trail_of_Cedars')","[""'06301""]",1,[30924.0],['2023-07-10 07:44:32'],['2023-07-10 18:56:10'],[671.6333333333333]
"('St_mary_VC_parking', 'Wild_goose_island')","[""'06351""]",1,[2625.0],['2023-07-11 12:47:29'],['2023-07-11 13:42:59'],[55.5]
"('Big_bend', 'Lake_macdonald_lodge', 'Moose_country', 'Rising_sun')","[""'06381""]",1,[5805.0],['2023-07-11 11:38:51'],['2023-07-11 15:01:59'],[203.13333333333333]
"('Avalanche_parking', 'Loop_highline_grinnell_glac', 'Loop_parking', 'Moose_country')","[""'06421""]",1,[25349.0],['2023-07-11 11:54:02'],['2023-07-11 19:35:00'],[460.96666666666664]
