Trip_Order,IDs,Count,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
"('Loop_parking', 'Loop_highline_grinnell_glac', 'Loop_parking', 'Avalanche_parking', 'Lake_macdonald_lodge', 'Shuttle_Lake_macdonald')","[""'05291""]",1,[30690.0],['2023-07-10 08:18:48'],['2023-07-10 17:03:48'],[525.0]
"('Avalanche_parking', 'Trail_of_Cedars', 'Apgar_VC_parking', 'Apgar_VC')","[""'05311""]",1,[46690.0],['2023-07-10 07:53:46'],['2023-07-11 01:25:11'],[1051.4166666666667]
"('St_mary_VC_parking',)","[""'05331"", ""'05351"", ""'07461"", ""'12091"", ""'22271""]",5,"[600.0, 420.0, 7065.0, 165.0, 520.0]","['2023-07-06 09:38:30', '2023-07-06 09:35:43', '2023-07-12 19:52:48', '2023-07-21 09:07:04', '2023-08-06 08:25:20']","['2023-07-06 09:48:30', '2023-07-06 09:42:43', '2023-07-12 21:50:33', '2023-07-21 09:09:49', '2023-08-06 08:34:00']","[10.0, 7.0, 117.75, 2.75, 8.666666666666666]"
"('Sun_point_parking', 'Shuttle_Sun_point', 'Baring_falls_to_sun_point', 'Baring_falls_trail', 'Sun_point_parking', 'St_mary_VC', 'St_mary_VC_parking', 'Logan_pass_parking', 'Trail_of_Cedars', 'Avalanche_parking', 'Trail_of_Cedars')","[""'05341""]",1,[6389.0],['2023-07-10 11:35:03'],['2023-07-10 15:48:47'],[253.73333333333332]
"('Loop_parking', 'Logan_pass_parking', 'Logan_pass_VC', 'Hidden_lake_overlook', 'Logan_pass_VC', 'Logan_pass_parking', 'Many_glacier_trail')","[""'05361""]",1,[10335.0],['2023-07-10 07:53:31'],['2023-07-10 12:56:16'],[302.75]
"('Moose_country', 'Avalanche_parking', 'Trail_of_Cedars', 'Avalanche_parking', 'Shuttle_Avalanche', 'Big_bend', 'Many_glacier_trail', 'Apgar_village')","[""'05401""]",1,[16288.0],['2023-07-10 08:38:10'],['2023-07-10 21:04:38'],[746.4666666666667]
"('Apgar_village', 'Gunsight_pass_trailhead', 'Many_glacier_trail')","[""'05441""]",1,[6960.0],['2023-07-10 09:34:19'],['2023-07-10 14:06:35'],[272.26666666666665]
"('Logan_pass_parking', 'Logan_pass_VC', 'Hidden_lake_overlook', 'Shuttle_Logan_pass', 'Logan_pass_parking', 'Jackson_glac_overlook', 'Red_rock')","[""'05461""]",1,[8156.0],['2023-07-10 09:22:51'],['2023-07-10 13:40:02'],[257.18333333333334]
"('St_mary_falls_parking', 'Viriginia_falls_trail', 'StMary_falls_trail', 'St_mary_falls_parking', 'Jackson_glac_overlook', 'Logan_pass_parking', 'Logan_pass_VC', 'Hidden_lake_overlook', 'Logan_pass_parking')","[""'05511""]",1,[18809.0],['2023-07-10 10:47:08'],['2023-07-10 17:00:08'],[373.0]
"('Apgar_VC_parking', 'Apgar_VC', 'Apgar_VC_parking', 'Lake_macdonald_lodge', 'Logan_pass_parking', 'St_mary_VC_parking', 'Wild_goose_island', 'Jackson_glac_overlook', 'Shuttle_Jackson_glac_overlook', 'Jackson_glac_overlook', 'Shuttle_Jackson_glac_overlook', 'Logan_pass_VC', 'Hidden_lake_overlook', 'Logan_pass_VC', 'Shuttle_Logan_pass', 'Jackson_glac_overlook', 'Lunch_creek', 'Lunch_creek_parking', 'Apgar_VC_parking', 'Apgar_VC', 'Apgar_village', 'Apgar_VC_parking')","[""'05541""]",1,[14497.0],['2023-07-10 08:19:54'],['2023-07-10 17:11:36'],[531.7]
"('Apgar_VC_parking', 'Lake_macdonald_lodge', 'St_mary_VC_parking')","[""'06021""]",1,[2685.0],['2023-07-11 11:13:46'],['2023-07-11 13:58:16'],[164.5]
